Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_023529015.1,Yrk_Pnu_10X_1,Papaver nudicaule,74823,,,,,S-191538,,Annotation submitted by University of York,1592934747,,Scaffold,5/23/22,JAJJMA01,348711
GCA_028566635.1,ASM2856663v1,Lobelia cardinalis,76578,,,,,6Y9JQL63XL,,,394862746,,Scaffold,2/9/23,JAOWAN01,114685
GCA_036897465.1,ASM3689746v1,Pelargonium australe,59866,,,,,paus-001,,,248493002,,Contig,2/28/24,JAYMTH01,
GCA_036897725.1,ASM3689772v1,Erodium texanum,28960,,,,,ete-001,,,327127535,,Contig,2/28/24,JAYMSW01,
GCA_036897665.1,ASM3689766v1,Pelargonium citronellum,73188,,,,,pci-001,,,245539565,,Contig,2/28/24,JAYMSZ01,
GCA_026873985.1,TDU_SM_1.0.fasta,Saraca asoca,1073321,,,,,S1a1-2,,,1651794440,,Contig,12/13/22,JANHAO01,
GCA_029448705.1,ASM2944870v1,Adansonia digitata,69109,,,,,IRGN CZY4BLHFFT,,,686995032,,Scaffold,3/28/23,JAQSVH01,232407
GCA_028566155.1,ASM2856615v1,Quercus phellos,857043,,,,,YZ20DBBUU9,,,763190858,,Scaffold,2/9/23,JAOWBE01,178319
GCA_036250525.1,spp2010,Solanum hybrid cultivar,310796,,,CIP-Matilde,,CIP512010.1,,,954551369,,Contig,1/29/24,JAJOOL01,
GCA_011763485.2,ASM1176348v2,Isoetes engelmannii,37427,,,,,DK1S5LJ70Y,,,640967017,,Scaffold,11/10/22,JAANSK02,319260
GCA_024520955.1,ASM2452095v1,Erythroxylum bequaertii,2303020,,,,,IRGN Vincent-6118,,,1069373744,,Scaffold,8/3/22,JANIJF01,243764
GCA_025631255.1,ASM2563125v1,Cornus kousa,28501,,,,,IRGN KJT8SPZY55,,,779711099,,Scaffold,10/9/22,JAOTQH01,297617
GCA_028566515.2,ASM2856651v2,Pyracantha coccinea,193309,,,,,IRGN X329LVHRXG,,,588472065,,Scaffold,6/1/23,JAOTRO02,235557
GCA_036897585.1,ASM3689758v1,Francoa sonchifolia,23250,,,,,fso-001,,,234142803,,Contig,2/28/24,JAYMTB01,
GCA_018983105.1,ASM1898310v1,Silene uniflora,39919,,,,,SUTF1P,,,769231190,,Scaffold,6/21/21,JAGPOY01,269914
GCA_036897745.1,ASM3689774v1,Erodium moschatum,337392,,,,,emo-001,,,373414566,,Contig,2/28/24,JAYMSV01,
GCA_949634005.1,SAMN08770392-DRAFT-NextGenCassava-1.0,Mallotus japonicus,29747,,,,,,,,824423900,,Contig,4/9/23,CATIWK01,
GCA_032274785.1,ASM3227478v1,Ajuga reptans,38596,,,,,IRGN LKWWQESXIL,,,433753969,,Scaffold,10/2/23,JAUEKW01,217649
GCA_036897765.1,ASM3689776v1,Erodium chrysanthum,337364,,,,,ech-001,,,242944517,,Contig,2/28/24,JAYMSU01,
GCA_026257165.2,ASM2625716v2,Telfairia occidentalis,383670,,,,,IRGN 2TH7M9EJ4L,,,745336181,,Scaffold,6/7/23,JAOANK02,852383
GCA_027564415.1,ASM2756441v1,Erythroxylum macrophyllum,681434,,,,,F 2324338,,,678289703,,Scaffold,1/3/23,JAOQMK01,275393
GCA_036897605.1,ASM3689760v1,Melianthus villosus,377280,,,,,mvi-001,,,304406265,,Contig,2/28/24,JAYMTC01,
GCA_010015005.3,ASM1001500v3,Ulmus americana,29740,,,,,5ELPC6EGUD,,,865024137,,Scaffold,11/30/22,WUAT03,504162
GCA_015708375.1,ASM1570837v1,Cydonia oblonga,36610,,,Quince A,,,,,488422409,,Contig,12/1/20,JADOBS01,
GCA_028566175.1,ASM2856617v1,Vinca major,185238,,,,,2VZKHG1RCM,,,526512877,,Scaffold,2/9/23,JAOWBF01,278249
GCA_025802135.1,ASM2580213v1,Lagerstroemia fauriei,1812841,,,,,W47583U3NX,,,480796280,,Scaffold,10/23/22,JAOYND01,249010
GCA_002024485.1,Acamansi1.0,Artocarpus camansi,709039,,,,,NTBG 960576.001,,,631307653,,Scaffold,3/9/17,LNSY01,396025
GCA_036898025.1,ASM3689802v1,Hypseocharis bilobata,253189,,,,,hbi-001,,,232428270,,Contig,2/28/24,JAYMTT01,
GCA_035048425.1,ASM3504842v1,Artemisia princeps,223870,,,,,RLTOP4CZT9,,,591186982,,Scaffold,1/3/24,JAWWMX01,240101
GCA_025448175.1,ASM2544817v1,Aronia arbutifolia,36594,,,,,4LNON0G68K,,,638142640,,Scaffold,9/27/22,JAOEHR01,219776
GCA_012978445.1,ASM1297844v1,Dipteryx alata,54988,,,,Cerrado,AMAT2019,,,358393232,,Contig,5/6/20,WOFL01,
GCA_000582825.1,Hordeum_pubiflorum_assembly1,Hordeum pubiflorum,112521,,,,,,,,1425274558,,Scaffold,8/30/13,CBMN01,1818420
GCA_000511995.1,FNU_r1.1,Fragaria nubicola,60188,,,,,,,,203686407,,Scaffold,12/6/13,BATW01,210780
GCA_000512025.1,FNI_r1.1,Fragaria nipponica,101012,,,,,,,,206414839,,Scaffold,12/6/13,BATV01,215024
GCA_025802435.1,ASM2580243v1,Magnolia virginiana,3412,,,,,N2913IP7A2,,,541943562,,Scaffold,10/23/22,JAOYMP01,472668
GCA_037834515.1,KNA_Les_cu_1,Lespedeza cuneata,53893,,,,South Korea,,,,447729940,,Contig,3/29/24,JBBMKG01,
GCA_037974815.1,ASM3797481v1,Kaempferia elegans,97749,,,,,1GWDX3AD7N,,,1145563916,,Scaffold,4/5/24,JBBPFQ01,1566574
GCA_004151065.3,LarixSibirica0.16,Larix sibirica,62751,,,,Siberia,KRSK-2023,,,12249848697,,Scaffold,3/5/24,NWUY03,11197034
GCA_025212335.1,ASM2521233v1,Chlorophytum comosum,34182,,,,,RY4QFWERTH,,,375177971,,Scaffold,9/14/22,JAOBAK01,389500
GCA_031762755.1,ASM3176275v1,Hyacinthus orientalis,82025,,,,,IRGN 8FJLOV4PQL,,,155091952,,Scaffold,9/20/23,JASKDU01,179346
GCA_020138205.1,ASM2013820v1,Tilia amurensis,1522114,,,,,SWC-2021,,,12693684,,Contig,9/24/21,JAIFZL01,
GCA_001562795.1,VitisNorton_MSU1.0,Vitis aestivalis,3605,,,Norton,,,,,432755284,,Contig,2/17/16,LOML01,
GCA_031763035.1,ASM3176303v1,Lilium candidum,83802,,,,,IRGN HG3AVTRR4I,,,345516278,,Scaffold,9/20/23,JAUHJX01,458622
GCA_037974795.1,ASM3797479v1,Kaempferia galanga,97750,,,,,ZFNJVYWB3B,,,997432737,,Scaffold,4/5/24,JBBPFP01,1799764
GCA_900070015.1,Hordeum_bulbosum_assembly1,Hordeum bulbosum,4516,,,,,,,,1294872816,,Scaffold,2/22/17,CBQS01,2883554
GCA_003546025.1,ASBRC_Ckan_1.0,Cinnamomum micranthum f. kanehirae,337451,,,Chaw 1501,,,,Annotation submitted by Academia Sinica,730416403,,Scaffold,9/11/18,QPKB01,2150
GCA_903798275.1,FRAX16-0.1,Fraxinus angustifolia subsp. syriaca,56028,,,,,,,,585955275,,Scaffold,6/16/20,CAIGRE01,323049
GCA_900406315.1,Biscutella longifolia,Biscutella laevigata subsp. laevigata,1594205,,,,,,,,333609385,,Scaffold,6/15/19,OVAU01,144912
GCA_949592205.1,Humb_v1,Helichrysum umbraculigerum,630343,,,,,,,,1315054614,,Scaffold,4/9/23,CATIUR01,453
GCA_947685225.1,Gn-TARS1881-DRAFT-NextGenCassava-1.0,Garcia nutans,316719,,,,,,,,2183361891,,Contig,4/9/23,CANTUV01,
GCA_037013595.1,Dgu_HS1_HYBRID_SCAFFOLD,Dicorynia guianensis,162748,,,,,Angela,,,550240880,,Scaffold,3/5/24,JASUAB01,54
GCA_026686845.1,LRSV_Adepav_v1,Adenanthera pavonina,3811,,,,chiltern seeds,Adepav_Ind1,,,1137903314,,Scaffold,12/6/22,JAIVEN01,1634
GCA_029784005.1,LspMR_v1,Lenwebbia sp. NSW1173648,3002909,,,,,NSW1173648,,,404108943,,Contig,4/17/23,JARCGZ01,
GCA_029884605.1,ASM2988460v1,Ormosia emarginata,53908,,,,,ZS_AOHD20220624,,,1420917605,,Contig,4/26/23,JAQQTP01,
GCA_039880935.1,UCD_Sdiv_1.0,Streptanthus diversifolius,1385404,,,,,1389_S4,,,402145164,,Contig,5/28/24,JAXGFM01,
GCA_040436625.1,ISCPUB_C3_hap1,Ischnosiphon puberulus,210058,,,,Igapo,C3,,,328429551,,Scaffold,7/1/24,JBCJLS01,81
GCA_032878915.1,ASM3287891v1,Castanopsis chinensis,279180,,,,,zl_scbg,,,888699661,,Scaffold,10/20/23,JAVQMG01,133
GCA_945859875.1,Cuscuta europea,Cuscuta europaea,41803,,,,,,,"Annotation submitted by biology centre, czech academy of sciences",975849186,,Contig,11/27/22,CAMAPE01,
GCA_037013555.1,HS1_Sru_omap1_HYBRID_SCAFFOLD,Sextonia rubra,128702,,,,,Sixto,,,991396760,,Scaffold,3/5/24,JASUAD01,35
GCA_036873135.1,UMN_ClXant_1.0,Clarkia xantiana subsp. parviflora,283800,,,,Long Valley,LV_IL_G5_1,,,695042671,,Scaffold,2/26/24,JAPTYO01,58
GCA_019915205.1,ASM1991520v1,Eucalyptus rudis,338544,,,,,KAUST-2020b,,,962168550,,Contig,9/9/21,JAHMTN01,
GCA_033439265.1,DSuf,Dillenia suffruticosa,332431,,,,,BRC-DS-1,,,596584544,,Scaffold,11/8/23,JAVTVX01,37
GCA_040259375.1,ASM4025937v1,Cochlearia groenlandica,669661,,,,,JK-2024,,,249535152,,Contig,6/21/24,JBCGDA01,
GCA_947683425.1,Ec-NTBG880627-DRAFT-NextGenCassava-1.0,Excoecaria cochinchinensis,179682,,,,,,,,1398323618,,Contig,4/9/23,CANTUQ01,
GCA_022829125.1,ASM2282912v1,Lathyrus tuberosus,49829,,,,,NL20,,,6790157359,,Contig,4/8/22,JALAZF01,
GCA_963924115.1,Dovyalis_caffra_ICRAF-04990_whole_genome_sequence,Dovyalis caffra,77055,,,,,,,Annotation submitted by International Livestock Research Institute,440647589,,Scaffold,1/21/24,CAWUPB01,1200
GCA_033992175.1,SCre,Spiraea crenata,409507,,,,,torda1,,,217666113,,Scaffold,11/30/23,JAVBHV01,89
GCA_028749325.2,ASM2874932v2,Caryopteris x clandonensis,54236,,,Pink Perfection,Germany,Pink Perfection,,,298389927,,Scaffold,7/13/23,JAPYKT02,53
GCA_033032865.1,UVIE_Dinc_1.0,Dactylorhiza incarnata,230574,,,,,OP2299,,,3271491065,,Scaffold,10/25/23,JAWHQI01,3346
GCA_026586105.1,ASM2658610v1,Hylodesmum podocarpum,53867,,,PI 286475 02 SD,,,,,399072126,,Contig,11/30/22,JALJEV01,
GCA_947069175.1,scalesia_atractyloides_v1,Scalesia atractyloides,2708596,,,,,,,,3216878694,,Scaffold,10/16/22,CAMTDV01,1634
GCA_900406565.1,ASM90040656v1,Turritis glabra,63678,,,,,,,,171129789,,Contig,6/14/19,OVBN01,
GCA_021437785.1,Rpsi_v1,Rhodomyrtus psidioides,375277,,,,,NSW1078509,,,931146191,,Contig,1/11/22,JAILYB01,
GCA_030449925.1,ASM3044992v1,Citropsis articulata,1762906,,,CGI,,,,,419123650,,Contig,7/13/23,JASUUH01,
GCA_024447775.1,MSU_CaCris_1.0,Carex cristatella,314410,,,,,KLC_2021d,,,301638393,,Scaffold,7/26/22,JAJHPF01,35
GCA_021901955.1,ASM2190195v1,Brassica balearica,87089,,,,,WHAAS-325,,,376699982,,Contig,2/3/22,JAJNAW01,
GCA_940586395.1,Boerner_haplotype_BoeCin,Vitis riparia x Vitis cinerea,2018007,,,,,,,,501563116,,Scaffold,7/15/22,CALNHZ02,767
GCA_900116095.1,Euclidium_syriacum.MPIPZ.v1,Euclidium syriacum,345537,,,,,,,,229211023,,Scaffold,12/31/16,FPAK01,160
GCA_040182545.1,USFQ_Vflori_1,Vaccinium floribundum,180757,,,,Ecuador,MAQ-2024a,,,529213136,,Scaffold,6/14/24,JBAIZN01,1324
GCA_004919715.1,ASM491971v1,Linderniella brevidens,263965,,,,,E. Fischer 8022,,,266104577,,Scaffold,4/29/19,SWDC01,158
GCA_024447665.1,MSU_JuInfl_1.0,Juncus inflexus,318445,,,,,KLC_2021a,,,267556816,,Scaffold,7/26/22,JAJHPC01,21
GCA_945859915.1,ASM94585991v1,Cuscuta epithymum,186058,,,,,,,"Annotation submitted by biology centre, czech academy of sciences",997015527,,Contig,11/27/22,CAMAPF01,
GCA_902712375.1,D_dumetorum_v1.0,Dioscorea dumetorum,167584,,,,,,,,485115345,,Contig,2/10/20,CACTHL01,
GCA_030449905.1,ASM3044990v1,Luvunga scandens,645647,,,SYT,,,,,342826987,,Contig,7/13/23,JASUUG01,
GCA_900108845.1,Conringia_planisiliqua.v1,Conringia planisiliqua,311912,,,,,,,,184155600,,Scaffold,12/31/16,FNXX01,705
GCA_961763995.1,jcinerea.fasta.gz,Juglans cinerea,91214,,,,,,,,539433174,,Scaffold,8/1/23,CAUIVZ01,16
GCA_026120185.1,UniT_Voth_1.1,Voacanga thouarsii,1237849,,,,,FGT_2020_1,,,1351252803,,Scaffold,11/10/22,JANUWF01,3402
GCA_019022655.1,ASM1902265v1,Acacia acuminata,178749,,,,,CANB 635365.2,,,879910866,,Contig,6/24/21,JAFJYI01,
GCA_021437795.1,Rrub_v1,Rhodamnia rubescens,375276,,,,,NSW1024355,,,354003814,,Scaffold,1/11/22,JAILYA01,174
GCA_019656295.1,RRI_r1.1,Rhododendron mucronatum var. ripense,224351,,,,,Hi-Oni1,,,506708990,,Contig,6/21/21,BPLT01,
GCA_033239525.1,ASM3323952v1,Nepenthes gracilis,150966,,,,,SING2019-196,male,Annotation submitted by University of WÃ¼rzburg,752878903,,Scaffold,6/16/23,BSYO01,176
GCA_019739055.1,v1,Passiflora organensis,159434,,,,,Porg-sp-001,,,259301974,,Scaffold,8/24/21,JAEPBF01,360
GCA_947683625.1,Mn-MIA8875-DRAFT-NextGenCassava-1.0,Mallotus nudiflorus,300977,,,,,,,,1420689326,,Contig,4/9/23,CANTUR01,
GCA_037126225.1,ASM3712622v1,Dillenia turbinata,194707,,,,,LSX21,,Annotation submitted by University of Florida,723739077,,Scaffold,3/13/24,JBAMMX01,90
GCA_027704865.1,ASM2770486v1,Solanum neorickii,62891,,,ZY58,,,,,777895130,,Scaffold,1/11/23,JAKWJC01,374
GCA_946122785.1,Linum_tenue_thrum_v1,Linum tenue,586396,,,,,,,Annotation submitted by Stockholm University,692364448,,Scaffold,9/11/22,CAMGYJ01,23
GCA_027704785.1,ASM2770478v1,Solanum chmielewskii,62889,,,ZY60,,,,,769438149,,Scaffold,1/11/23,JAKWIX01,329
GCA_028392965.1,V1.4,Lindernia subracemosa,303139,,,,,BG-Bonn 19990-2,,,248325943,,Contig,2/1/23,JAQPCC01,
GCA_947646795.1,BlomONT_v1.0,Beta lomatogona,65139,,,,,,,,1032079534,,Contig,7/2/23,CANSNZ01,
GCA_034509735.1,ASM3450973v1,Sesamum alatum,300844,,,,,3651,,Annotation submitted by Henan Academy of Agricultural Sciences,528043444,,Scaffold,12/21/23,JACGWO01,121
GCA_947687595.1,Ca-MOBOT1996-3422-1-DRAFT-NextGenCassava-1.0,Cnidoscolus aconitifolius,398630,,,,,,,,917728278,,Contig,4/9/23,CANTUU01,
GCA_019202695.1,EIMB_PSib_M29_1.0,Populus x sibirica,1954239,,,,,M29,male,,817193953,,Contig,7/13/21,JAGMVL01,
GCA_026901365.1,ASM2690136v1,Sesbania bispinosa,485725,,,Dhaincha-73,,,,Annotation submitted by Bangladesh Jute Research Institute,1038494862,,Contig,12/14/22,QLOH01,
GCA_025563575.1,ASM2556357v1,Acacia pycnantha,880440,,,,,,,Annotation submitted by Genomics for Australian Plants,814422446,,Scaffold,10/6/22,JAMWYP01,1267
GCA_024447655.1,MSU_CaScop_1.0,Carex scoparia,314463,,,,,KLC_2021c,,,298037631,,Scaffold,7/26/22,JAJHPE01,33
GCA_026541065.1,ASM2654106v1,Canavalia ensiformis,3823,,,PI 364355 01 SD,,,,,535474323,,Scaffold,11/30/22,JAMKYM01,1059
GCA_021234155.1,ASM2123415v1,Isoetes taiwanensis,99432,,,,,TFRI,,,1658303964,,Scaffold,12/20/21,JAJEKV01,1113
GCA_945779075.1,brassica_incana.om,Brassica incana,129365,,,,,,,,689848007,,Scaffold,4/9/23,CALZFW01,963
GCA_024733475.1,NTU_Sgrande_1.0,Syzygium grande,1042139,,,,,SINGAPORE,,Annotation submitted by Nanyang Technological University,405179882,,Scaffold,8/22/22,JAMXDD01,174
GCA_018342035.1,IUB_Sapp_1.0,Solanum appendiculatum,115661,,,,,accession 670,,,751385151,,Scaffold,5/11/21,JAGDQO01,3627
GCA_016801875.1,ASM1680187v1,Solanum sitiens,315349,,,LA1974,,,,,1244587916,,Scaffold,2/2/21,JABWTJ01,1478
GCA_900406555.1,ASM90040655v1,Pseudoturritis turrita,81982,,,,,,,,321562673,,Contig,6/15/19,OVBL01,
GCA_947648045.1,BcorONT_v1.0,Beta corolliflora,19767,,,,,,,,1963172020,,Contig,7/2/23,CANSZD01,
GCA_024138025.1,Combretum micranthum_SMRT,Combretum micranthum,578542,,,,,cmmi_leaf_GZ201811,,,1865111820,,Contig,7/5/22,JAMXBD01,
GCA_008635985.1,FER_r1.1,Ficus erecta,66383,,,,,FE-Hiroshima-1,,,595834738,,Contig,9/18/19,BKCH01,
GCA_030278955.1,ASM3027895v1,Hygrophila difformis,1279181,,,,Wuhan,GL_2022a,,,915501528,,Scaffold,6/16/23,JAOANR01,340
GCA_947687605.1,Rt-PI112679-DRAFT-NextGenCassava-1.0,Reutealis trisperma,1487825,,,,,,,,723336228,,Contig,4/9/23,CANTUT01,
GCA_018135685.1,ASM1813568v1,Themeda triandra,106636,,,,,sf006,,,889062797,,Contig,4/26/21,JAENPR01,
GCA_040114295.1,Piosella_PH70_1.0,Pilosella piloselloides,1628030,,,praealta,,PH70,,,3325137093,,Scaffold,6/10/24,JBDILW01,25909
GCA_037126765.1,ASM3712676v1,Stenogyne calaminthoides,141791,,,,Hawaii,,,,1415486896,,Scaffold,3/13/24,JBBCBC01,434
GCA_034509725.1,ASM3450972v1,Sesamum angolense,2727404,,,,,K16,,Annotation submitted by Henan Academy of Agricultural Sciences,300760412,,Scaffold,12/21/23,JACGWL01,1029
GCA_016808115.1,Tetrastigma_voinierianum_v1,Tetrastigma voinierianum,345143,,,,,LCAI004,,,3111493075,,Contig,2/4/21,JAEQBH01,
GCA_040286105.1,ASM4028610v1,Sesamum latifolium,2727402,,,,,KEN1,,Annotation submitted by Henan Academy of Agricultural Sciences,368995869,,Scaffold,6/24/24,JACGWN01,276
GCA_027704805.1,ASM2770480v1,Solanum corneliomulleri,230663,,,ZY62,,,,,876890068,,Scaffold,1/11/23,JAKWIY01,3063
GCA_029747015.1,UA_SGP5p_2,Carnegiea gigantea,171969,,,,,SGP5-SGP5p,,Annotation submitted by The University of Arizona,1140547102,,Scaffold,4/17/23,JAKOGI01,5940
GCA_040285715.1,ASM4028571v1,Sesamum calycinum,2727403,,,,,KEN8,,Annotation submitted by Henan Academy of Agricultural Sciences,312952771,,Scaffold,6/24/24,JACGWM01,2000
GCA_022495995.1,ASM2249599v1,Adenophora triphylla var. japonica,265775,,,,,20190508_JD-JanDe-QGTP,,,2477772497,,Contig,3/7/22,JAFEMH01,
GCA_029216955.1,ASM2921695v1,Iris pallida,29817,,,,,GSM-AAB239-AS_SAM_17_03QT,,Annotation submitted by Novartis AG,13489124238,,Scaffold,3/15/23,JANAVB01,45220
GCA_040285695.1,ASM4028569v1,Sesamum angustifolium,2727405,,,,,G01,,Annotation submitted by Henan Academy of Agricultural Sciences,300705275,,Scaffold,6/24/24,JACGWK01,1879
GCA_033356055.1,Capu_genome,Carex pumila,418179,,,,,GS1,,,346579715,,Contig,11/6/23,JARJHM01,
GCA_036785485.1,ASM3678548v1,Physcomitrellopsis africana,2050917,,,,South Africa,Goffinet 10326,,,436281519,,Scaffold,2/22/24,JAWRVF01,2348
GCA_902728155.2,Merr_genes,Microthlaspi erraticum,1685480,,,,,,,"Annotation submitted by Senckenberg Biodiversity and Climate Research Center, Frankfurt am Main",170422779,,Scaffold,2/13/20,CACVBM02,1940
GCA_033070095.1,ASM3307009v1,Escallonia herrerae,1293975,,,,,UCBG64.0493,,Annotation submitted by University of Florida,994359942,,Contig,10/26/23,JAVXUP01,
GCA_023531295.1,Yrk_Parm_ont_1,Papaver armeniacum,357465,,,,,S-191323,,Annotation submitted by University of York,2980240000,,Scaffold,5/23/22,JAJJWW01,19539
GCA_031894775.1,ASM3189477v1,Chloris gayana,110876,,,Tolgar,,Tolgar-108,,,603255848,,Scaffold,9/25/23,JAUNZO01,5224
GCA_040207345.1,Final_corrected_assemly_genome,Lepidium apetalum,153459,,,,Wild type,LZ-2024a,,,296074282,,Contig,6/17/24,JBCPSM01,
GCA_015847255.1,Hd-A1025-Draft-PanAnd-1.0,Hyparrhenia diplandra,798322,,,,Pasquet 1126,1,,,2072009970,,Scaffold,12/8/20,JADLZK01,13354
GCA_033065855.1,ASM3306585v1,Escallonia rubra,112253,,,,,UCBG92.1500,,Annotation submitted by University of Florida,566446937,,Contig,10/26/23,JAVXUO01,
GCA_002896215.2,S2Drd065_v0.5,Cicer echinospermum,90897,,,S2Drd_065,,,,,657413940,,Scaffold,3/27/19,PGTU02,17305
GCA_020465985.1,ASM2046598v1,Centrapalus pauciflorus,434635,,,,,104,,,1353878588,,Scaffold,10/13/21,JAANYP01,9735
GCA_032618575.1,ASM3261857v1,Nicotiana noctiflora,118705,,,TW89,,,,,2093308743,,Contig,10/13/23,JASVEL01,
GCA_015844335.1,Cs-A1013-Draft-PanAnd-1.0,Chrysopogon serrulatus,330583,,,,Kellogg PI219580,1,,,930458658,,Scaffold,12/8/20,JADLZL01,8313
GCA_037974295.1,ASM3797429v1,Cicer cuneatum,92720,,,ICC 17162,,,,,564739015,,Scaffold,4/5/24,JBBPBO01,1986
GCA_029817735.1,ASM2981773v1,Melastoma sanguineum,122218,,,,,Yangchun02,,,258763064,,Scaffold,4/18/23,JARUPW01,1030
GCA_023213415.1,ASM2321341v1,Bruguiera cylindrica,106616,,,,,BC-1,,,235931848,,Scaffold,5/2/22,JAGWFP01,4545
GCA_006891605.1,SU_Pschr_1.0,Pleurozium schreberi,34163,,,,,Blido,,,220032134,,Contig,7/11/19,VACF01,
GCA_928212115.1,Lvir_assembly_v4,Lactuca virosa,75947,,,,,,,Annotation submitted by WAGENINGEN UNIVERSITY,3446681275,,Scaffold,4/9/23,CAKMRJ01,5855
GCA_025461045.1,ASM2546104v1,Carex parvula,544733,,,,,,,,776830109,,Scaffold,9/28/22,JAJGRW01,5260
GCA_018901945.1,ASM1890194v1,Pugionium dolabratum,473980,,,,,SCU-Liu-2020-2,,,439653899,,Scaffold,6/16/21,JAEVFF01,3258
GCA_905132885.1,Moricandia_moricandioides_assemly,Moricandia moricandioides,308297,,,,,,,,498312484,,Scaffold,1/28/21,CAJHQQ01,9638
GCA_023531105.1,Yrk_Patl_10X_1,Papaver atlanticum,357466,,,,,S-188037,,Annotation submitted by University of York,938096308,,Scaffold,5/23/22,JAJJMB01,18265
GCA_010665285.1,ASM1066528v1,Linum bienne,347648,,,,,15003,,,293578849,,Scaffold,2/14/20,QMEG01,2654
GCA_003254865.1,ASM325486v1,Dryas drummondii,48231,,,,,NF-2018-8,,,225547060,,Scaffold,6/19/18,QANW01,13357
GCA_003255065.1,ASM325506v1,Cercis canadensis,49801,,,,,NF-2018-4,,,329325136,,Scaffold,6/19/18,QAOA01,8828
GCA_005191435.1,ASM519143v1,Raddia distichophylla,38704,,,,Brazil,RD-2015,,,580833421,,Scaffold,5/6/19,SPJY01,38257
GCA_905132765.1,Moricandia_arvensis_assemly,Moricandia arvensis,180540,,,,,,,,758710152,,Scaffold,1/28/21,CAJHQP01,15876
GCA_039602395.1,SBBG_Deinvi_1.0,Deinandra increscens subsp. villosa,3103831,,,,Tranquillon Mountain/Sudden Peak occurrence,,,Annotation submitted by Santa Barbara Botanic Garden,1674620146,,Scaffold,5/10/24,JBCNJP01,28689
GCA_002933915.1,ASM293391v1,Eutrema heterophyllum,347889,,,,WSC,,,,348971089,,Scaffold,2/20/18,PKMM01,57686
GCA_003254975.1,ASM325497v1,Ochetophila trinervis,262936,,,,,NF-2018-7,,,309116026,,Scaffold,6/19/18,QANX01,8237
GCA_026898415.1,MSU_Leonotis_leonurus_v1.0,Leonotis leonurus,378904,,,,,AEB_2022b,,,522519483,,Scaffold,12/14/22,JAPKLX01,4436
GCA_023531435.1,Yrk_Pca_10X_1,Papaver californicum,74822,,,,,S-191679,,Annotation submitted by University of York,1372414916,,Scaffold,5/23/22,JAJJMC01,34741
GCA_027742795.1,ASM2774279v1,Vigna hirtella,157746,,,,,CN-2021,,,474083933,,Scaffold,1/11/23,JAHCHA01,17216
GCA_028386065.3,ASM2838606v3,Turnera subulata,218843,,,,,F60SS,,Annotation submitted by Washington State University,544584283,,Scaffold,2/1/23,JAKUCV01,7883
GCA_003255005.1,ASM325500v1,Begonia fuchsioides,200001,,,,,NF-2018-2,,,373914052,,Scaffold,6/19/18,QAOC01,55006
GCA_002914805.1,PanWU01x14_asm01,Parasponia andersonii,3476,,,,,WU1-14,,Geurts lab 1.0,475834238,,Scaffold,2/2/18,JXTB01,2732
GCA_037974755.1,ASM3797475v1,Cicer yamashitae,92718,,,ICC 17281,,,,,539660329,,Scaffold,4/5/24,JBBPBQ01,20324
GCA_900406495.1,ASM90040649v1,Sisymbrium altissimum,71365,,,,,,,,178647359,,Scaffold,6/14/19,OVBI01,14597
GCA_022059055.1,Vitis_cinerea_B9,Vitis cinerea,226012,,,B9,North America,,male,,497850103,,Scaffold,2/8/22,JAJJMJ01,26134
GCA_037974835.1,ASM3797483v1,Cicer judaicum,92719,,,ICC 17148,,,,,466145321,,Scaffold,4/5/24,JBBPBS01,1274
GCA_022085475.1,ASM2208547v1,Heliosperma pusillum,39905,,,,alpine,6B1T,hermaphrodite,"Annotation submitted by Plant Ecological Genomics, University of Vienna",1208429567,,Scaffold,2/8/22,JAIUZE01,75427
GCA_002762385.1,Himp0.1,Handroanthus impetiginosus,429701,,,,,UFG-1,,"Annotation submitted by Laboratorio de Genetica & Biodiversidade, Instituto de Ciencias Biologicas,Universidade Federal de Goias",503289430,,Scaffold,11/9/17,NKXS01,13204
GCA_024699675.1,UWA_Aant_1.0,Amphibolis antarctica,55438,,,,Western Australia,UWA_2022b,,,244675974,,Contig,8/15/22,JAMKPZ01,
GCA_900406405.1,ASM90040640v1,Lepidium africanum,153324,,,,,,,,225262187,,Scaffold,6/15/19,OVAX01,17445
GCA_003254905.1,ASM325490v1,Nissolia schottii,105944,,,,,NF-2018-10,,,466098644,,Scaffold,6/19/18,QANU01,116213
GCA_014898725.1,JACO_1.0,Jacaranda copaia,228396,,,,,P BRU 00008453,,,616158746,,Scaffold,10/20/20,JACGDI01,5860
GCA_002933935.1,ASM293393v1,Eutrema yunnanense,347893,,,,Hunan,,,,415364017,,Scaffold,2/20/18,PKML01,78020
GCA_027743565.1,ASM2774356v1,Vigna trinervia,157753,,,,,CN_2021a,,,498740979,,Scaffold,1/11/23,JAJDEZ01,17312
